"MATERIAL,PRODUCTO O SERVICIO";"PROVEEDOR";"DIRECCION";"CIUDAD";"ESTADO";"PAIS";"TELEFONO";"CORREO";"SITIO WEB";"CONTACTO"
"CALIBRACIÓN, EQUIPOS DE MEDICIÓN";"HEXAGON ";"Av. Isidoro Sepúlveda #600-2, Regio Parque Industrial";"Apodaca";"Nuevo León";"México";"811 660 3345";"sarai.arana@hexagon.com";"http://www.hexagon.com";"Sarai Arana"
"CALZADO INDUSTRIAL Y SEGURIDAD";"C&C INTERNATIONAL BUSINESS ";"Paseo de los parques, El Valle";"Tijuana";"Baja California";"México";"(664) 6070918";"info@ccib.com.mx";"http://www.ccib.com.mx";"Marlen Caldera"
"CALZADO INDUSTRIAL Y SEGURIDAD";"CE & HP ";"Tijuana";"Tijuana y Mexicali";"Baja California";"México";"664 629 4868";"ceyhp3@hotmail.com";"http://www.ceyhp.com";"Lizbeth Sevilla"
"CALZADO INDUSTRIAL Y SEGURIDAD";"CRISOSA ";"Segundo Eje Oriente Poniente #19223, Ciudad Industrial";"Tijuana";"Baja California";"México";"664 607 2000";"recepcion@crisosa.com";"http://www.crisosa.com";"Jesús Rodríguez"
"CAPACITACIÓN";"ALFA - K9 ";"Av. José López Portillo #19526 int. 6, Col. Nueva Tijuana";"Tijuana";"Baja California";"México";"668 189 3144";"info@alfak9.com";"https://www.alfak9.com";"Lic. Jesús Ramón Vega Peñuelas"
"CAPACITACIÓN";"ALFA CAPACITACIÓN EN PRIMEROS AUXILIOS Y RCP ";"N/D";"Tijuana";"Baja California";"México";"6641368468";"alfatijuana@gmail.com";"";"Alfa Capacitación en Primeros Auxilios"
"CAPACITACIÓN";"AVANCER CENTRO EDUCATIVO SUPERIOR  ";"Plaza Victoria local 22 Blvd. Díaz Ordaz #14901 Fracc. Reynoso";"Tijuana";"Baja California";"México";"664 123 1590";"marianavancer@gmail.com";"https://www.avancer.com.mx";"Mariana de la Rosa"
"COMEDORES INDUSTRIALES";"ALONCH ";"Camino Viejo a Tecate";"Tijuana";"Baja California";"México";"663 229 7689";"alonch.buzon@gmail.com";"https://alonch.com/";"Francisca Mojuta"
"COMEDORES INDUSTRIALES";"BAXA EXECUTIVE EVENTS ";"Colombia #599-2, Col. Cuauhtémoc Norte";"Mexicali";"Baja California";"México";"(686) 564-6222";"baxaproveduriayservicios@hotmail.com";"http://www.baxaeventos.com";"Samuel Olivo"
"COMEDORES INDUSTRIALES";"CAFÉ PEDRÍN ";"Paseo del Río #16220 int. 17D, Río Tijuana 3a. Etapa";"Tijuana";"Baja California";"México";"(664) 418-6354";"cafepedrin@yahoo.com";"";"Manuel Lin"
"COMPRESORES";"COMPRESORES DE BAJA CALIFORNIA ";"Francisco Eusebio Kino #111-5, Fracc. Garita de Otay";"Tijuana";"Baja California";"México";"(664) 647-5183";"ventas@compresoresbc.com";"http://www.compresoresbc.com";"Luis Carlos Arce Quibrera"
"COMPRESORES";"COMPRESORES KAISHAN ";"Cabo Falso #20700, Col. Ampliación Guaycura";"Tijuana";"Baja California";"México";"6631173832";"parts@proairusa.com";"http://www.kaishanusa.com/";""
"COMPRESORES";"COMPRESORES MYS ";"Av. Paseo del Guaycura #94, Guaycura";"Tijuana";"Baja California";"México";"(664) 259-3708";"compresoresmys@hotmail.com";"http://www.facebook.com/Compresores-M-y-S-109027764268984";"Ing. Mario Garcí­a"
"CONSTRUCCIÓN Y MANTENIMIENTO";"AQS INDUSTRIAL ";"Av. Coahuila #898. Col. Esperanza";"Mexicali";"Baja California";"México";"686 556 7423";"analista.ventas@aqsindustrial.com.mx";"http://www.aqsindustrial.com.mx";"Manuela Félix"
"CONSTRUCCIÓN Y MANTENIMIENTO";"ARO CONSTRUCCIONES INDUSTRIALES  ";"Santa Agueda #20173, Col. Buenos Aires Sur";"Tijuana";"Baja California";"México";"664 976 5468";"andres.valdivia@aroconstructora.com";"http://www.aroconstructora.com";"Andrés Romario Valdivia"
"CONSTRUCCIÓN Y MANTENIMIENTO";"ARQCOS DE TIJUANA ";"Av. Venustiano Carranza #2812, Col. Ejido Chilpancingo";"Tijuana";"Baja California";"México";"6643000100";"info@arqcos.com";"http://www.arqcos.com";"Arq. Vicente Briseño"
"CONSUMIBLES PARA OFICINA";"CAFE LA NEGRITA ";"Calle Romano #13678 Fracc. Alcalá";"Tijuana";"Baja California";"México";"664 621 1130";"pedidostij@cafelanegrita.com";"";"Victor M Nader Aramburo"
"CONSUMIBLES PARA OFICINA";"CLIPS ";"Liga Vial, Blvd. Lázaro Cárdenas #15027 - B, Col. San Miguel";"Tijuana";"Baja California";"Mexico";"686 568 2280";"ventas@clips.com.mx";"http://www.clips.com.mx";"Carlos Canto"
"CONSUMIBLES PARA OFICINA";"COPYTECNO DIGITAL ";"Blvd. Real del mar #5932 int. 4, Plaza Todos Los Santos, Fracc. Real de San Antonio";"Tijuana";"Baja California";"México";"664 499 1988";"ventas@copytecno.com";"";"Abraham Rodríguez"
"CUARTOS LIMPIOS";"ARO CONSTRUCCIONES INDUSTRIALES  ";"Santa Agueda #20173, Col. Buenos Aires Sur";"Tijuana";"Baja California";"México";"664 976 5468";"andres.valdivia@aroconstructora.com";"http://www.aroconstructora.com";"Andrés Romario Valdivia"
"CUARTOS LIMPIOS";"ARQHEX ";"Av. de Las Américas #3999-C8, Fracc. El Paraí­so";"Tijuana";"Baja California";"México";"(664) 124-5881";"arqhex@gmail.com";"http://www.arqhex.com";"Arq. Francisco Javier Hernández"
"CUARTOS LIMPIOS";"BAXALTO ";"Av. Prolongación Paseo de la Reforma";"CDMX";"CDMX";"México";"55 6587 5449";"lherrera@procefil.com";"http://www.baxalto.com";"Luis Herrera"
